sep=,
Index,Date,Ch-int1 Temperature [°C],Ch-int2 RH [%RH]
1,3/31/2026 6:00:00 PM,20.9,37.2
2,3/31/2026 6:30:00 PM,20.4,40.9
3,3/31/2026 7:00:00 PM,20.4,36.3
4,3/31/2026 7:30:00 PM,20.9,35.6
5,3/31/2026 8:00:00 PM,21.2,35.5
6,3/31/2026 8:30:00 PM,21.2,34.3
7,3/31/2026 9:00:00 PM,21.1,36.6
8,3/31/2026 9:30:00 PM,22.2,37.9
9,3/31/2026 10:00:00 PM,23.4,39.3
10,3/31/2026 10:30:00 PM,24.2,42.4
11,3/31/2026 11:00:00 PM,24.7,45.9
12,3/31/2026 11:30:00 PM,24.8,44.4
13,4/1/2026 12:00:00 AM,24.9,40.9
14,4/1/2026 12:30:00 AM,24.9,39.5
15,4/1/2026 1:00:00 AM,24.9,38.5
16,4/1/2026 1:30:00 AM,25.0,38.3
17,4/1/2026 2:00:00 AM,25.0,37.7
18,4/1/2026 2:30:00 AM,25.0,36.5
19,4/1/2026 3:00:00 AM,25.0,36.3
20,4/1/2026 3:30:00 AM,25.0,36.9
21,4/1/2026 4:00:00 AM,25.0,37.6
22,4/1/2026 4:30:00 AM,25.0,37.6
23,4/1/2026 5:00:00 AM,25.0,37.5
24,4/1/2026 5:30:00 AM,25.0,37.3
25,4/1/2026 6:00:00 AM,25.0,36.5
26,4/1/2026 6:30:00 AM,25.0,36.1
27,4/1/2026 7:00:00 AM,24.9,38.1
28,4/1/2026 7:30:00 AM,22.6,38.9
29,4/1/2026 8:00:00 AM,21.6,38.9
30,4/1/2026 8:30:00 AM,21.4,37.3
31,4/1/2026 9:00:00 AM,21.5,38.8
32,4/1/2026 9:30:00 AM,21.4,36.0
33,4/1/2026 10:00:00 AM,21.6,36.1
34,4/1/2026 10:30:00 AM,21.8,36.7
35,4/1/2026 11:00:00 AM,21.9,38.6
36,4/1/2026 11:30:00 AM,21.4,39.9
37,4/1/2026 12:00:00 PM,21.4,36.2
38,4/1/2026 12:30:00 PM,21.2,35.4
39,4/1/2026 1:00:00 PM,21.0,35.0
40,4/1/2026 1:30:00 PM,20.8,34.8
41,4/1/2026 2:00:00 PM,21.2,35.5
